Key,Phase,Day,Block,Slot,Variant,Exercise,Sets,Target_Reps,Load_Note,PAP_Exercise,PAP_Sets,PAP_Reps,Combo_Focus,Cue
P1-D1-MOB-1-STD,1,1,MOBILITY,1,STANDARD,90/90 Hip Internal/External Rotation,,2x60s each side,RIGHT side priority,,,,,"Breathe into the position, find end range"
P1-D1-MOB-2-STD,1,1,MOBILITY,2,STANDARD,Supine Figure-4 Piriformis,,2x45s each side,Feel the outer hip,,,,,"Cross ankle over knee, flex foot, gentle pressure"
P1-D1-MOB-3-STD,1,1,MOBILITY,3,STANDARD,Half-Kneeling Hip Flexor + PPT,,2x45s each side,RIGHT side priority,,,,,"Squeeze glute, tuck pelvis — actively stretch psoas"
P1-D1-MOB-1-HA,1,1,MOBILITY,1,HIGH_ALERT,Supine Knee Circles (Easy),, 2x10 each direction,Gentle joint warm-up,,,,,Slow easy circles to warm the joint only
P1-D1-MOB-2-HA,1,1,MOBILITY,2,HIGH_ALERT,Lying Windshield Wiper,,2x60s,Both legs slow,,,,,"Feet flat, let knees fall side to side"
P1-D1-MOB-3-HA,1,1,MOBILITY,3,HIGH_ALERT,Adductor Longus Pin & Stretch,,2x60s each side,Find the tightest point,,,,,"Thumb pressure into inner thigh while stretching"
P1-D1-MOB-4-HA,1,1,MOBILITY,4,HIGH_ALERT,Supine Band Psoas Floss,,2x45s each side,Gentle traction only,,,,,"Band around proximal thigh, pull knee to chest gently"
P1-D1-MOB-5-HA,1,1,MOBILITY,5,HIGH_ALERT,Hip Joint Distraction (Band),,2x60s each side,RIGHT side first,,,,,"Band at groin crease, step away for traction"
P1-D1-STR-1,1,1,STRENGTH,1,STANDARD,Barbell Back Squat,4,4-5 reps,80% 1RM,Box Jump,4,3,,"Controlled 3s descent, drive through heels, full depth"
P1-D1-STR-2,1,1,STRENGTH,2,STANDARD,Romanian Deadlift,3,8 reps,Moderate — feel the hamstring,Broad Jump,3,3,,"Neutral spine, hip hinge, stretch at bottom"
P1-D1-STR-3,1,1,STRENGTH,3,STANDARD,Barbell Hip Thrust,3,10 reps,Full glute squeeze 2s hold,,,,,,"Drive hips to ceiling, squeeze hard at top — this is reciprocal inhibition work"
P1-D1-BAG-1,1,1,BAG,1,STANDARD,Bag Work — Jab-Cross Foundation,6,3 min rounds,60s rest between rounds,,,,"R1: Technical Jab-Cross | R2: Jab-Cross-Hook | R3: Double Jab-Cross | R4: + Step Out | R5: Speed Round | R6: Power Round","Stay loose. Snap the jab, rotate the hip into the cross."
P1-D1-CLR-1,1,1,COOLDOWN,1,STANDARD,Pigeon Pose (Deep),3,90s each side,RIGHT hip: 3 sets. LEFT: 2 sets,,,,,"Breathe deep, melt into the floor — this is your most important stretch"
P1-D1-CLR-2,1,1,COOLDOWN,2,STANDARD,Couch Stretch (Psoas/Quad),2,60s each side,RIGHT side priority,,,,,"Posterior pelvic tilt throughout — actively stretch the psoas"
P1-D1-CLR-3,1,1,COOLDOWN,3,STANDARD,Butterfly Adductor Stretch,2,60s,Lean forward — feel groin,,,,,,"Elbows press knees gently, lean chest towards feet"
P1-D1-CLR-4,1,1,COOLDOWN,4,STANDARD,QL Side Bend (Standing),2,45s each side,Feel the lateral chain,,,,,,"Arm overhead, reach across — thoracic side flexion"
P1-D3-MOB-1-STD,1,3,MOBILITY,1,STANDARD,Thoracic Rotation with Band,2,10 each side,Full rotation — chin over shoulder,,,,,"Anchor band, rotate fully, hold 1s at end range"
P1-D3-MOB-2-STD,1,3,MOBILITY,2,STANDARD,World's Greatest Stretch,1,5 each side,Slow and controlled,,,,,"Lunge + elbow to floor + thoracic rotation in one fluid move"
P1-D3-MOB-3-STD,1,3,MOBILITY,3,STANDARD,Active Hip Flexor Reach,2,45s each side,Stretch hip flexor while reaching overhead,,,,,"Half-kneeling, reach opposite arm overhead and laterally"
P1-D3-STR-1,1,3,STRENGTH,1,STANDARD,Incline Barbell Press,4,5 reps,75% 1RM — explosive intent,Explosive Push-up,4,5,,"Controlled down, explosive up — this is PAP prep"
P1-D3-STR-2,1,3,STRENGTH,2,STANDARD,Weighted Dip,3,6 reps,+15kg Phase 1,Clap Push-up,3,5,,"Full ROM — chest to bar depth, explosive press"
P1-D3-STR-3,1,3,STRENGTH,3,STANDARD,Landmine Press (Rotational),3,8 reps each side,Feel the rotation — punch pattern,,,,,,"Press from shoulder — this mirrors your cross movement"
P1-D3-BAG-1,1,3,BAG,1,STANDARD,Bag Work — Cross-Hook-Cross Power,6,3 min rounds,60s rest between rounds,,,,"R1-2: Technical 2-3-2 | R3-4: Combo with footwork | R5: Defence + Counter | R6: All-out power round","RIGHT hand power focus every session — rotate the hip INTO the cross"
P1-D3-CLR-1,1,3,COOLDOWN,1,STANDARD,Doorway Chest Stretch,2,60s,Multiple angles — high/mid/low,,,,,"Find the tightest angle and stay there"
P1-D3-CLR-2,1,3,COOLDOWN,2,STANDARD,Shoulder Cross-Body Rear Delt,2,45s each,Feel rear delt/capsule,,,,,"Arm across chest, opposite hand pulls at elbow"
P1-D3-CLR-3,1,3,COOLDOWN,3,STANDARD,Thread-the-Needle T-Spine,2,45s each side,Full thoracic rotation,,,,,,"On all fours, thread arm under body, hold at deepest point"
P1-D3-CLR-4,1,3,COOLDOWN,4,STANDARD,Doorway Hip Flexor Lunge,2,45s each side,RIGHT side priority — desk posture fix,,,,,"Posterior pelvic tilt throughout stretch"
P1-D5-MOB-1-STD,1,5,MOBILITY,1,STANDARD,Cossack Squat,2,6 each side,Load adductors through full range,,,,,"Slow descent, feel the inner thigh — this IS hip rehab"
P1-D5-MOB-2-STD,1,5,MOBILITY,2,STANDARD,Band Hip Abduction Standing,2,15 reps each,Straight leg — glute fires,,,,,,"Slow and controlled — glute med activation"
P1-D5-MOB-3-STD,1,5,MOBILITY,3,STANDARD,Adductor Stretch + Knee Drive,2,45s each,Inner thigh tension then release,,,,,"Wide stance, shift weight side to side"
